country_name,place_name,review_header,review,written_date
Germany,Reichstag Building,Great place to visit.,It was great to visit this historical building but unfortunately we could not get reservations to visit the glass dome on the parliament building. Please book it well in advance.,"Written November 25, 2021"
Germany,Reichstag Building,History nerd stop,"Political center of Germany. Worth a stop while rolling through Mitte, Berlin. Interesting architecture","Written November 5, 2021"
Germany,Reichstag Building,The famous Reichstag!,"We only admired it from the outside, but this gave us the idea of how magnificent it is. If you book by phone, you can visit it and go all the way up to the glass dome.","Written October 31, 2021"
Germany,Reichstag Building,"A ""must"" on any tour to Berlin.","A building of such importance and with so much history. A must visit on any trip to Berlin.

However in these times of Covid there is one very important message to give and that is book early. If you see an on-line ""Visiting slot"" take it and sort the logistics out later. We could only secure a visit at 9.00 am on a Sunday morning, but were so glad we didn't hesitate.

For those who cannot book a tour, consider having a meal in the restaurant and using that as an opportunity to enter the building. An added bonus are the unrestricted views from the top of the building.

Finally if you do manage to hit the jackpot and get to visit then take time to carefully read what documentation / pre-registration is required. When we went they were strictly enforcing the rules and I am sure people are turned away.","Written October 19, 2021"
Germany,Reichstag Building,Plan ahead,"As we found with other places in Berlin, advance reservations were required and we could not obtain an open time until November - so disappointed!","Written October 11, 2021"
Germany,Reichstag Building,Nice park upfront,"Nice area to view, stroll and look around. The area has a big park area upfront to enjoy and its near the Bradenburg gate,","Written October 3, 2021"
Germany,Reichstag Building,Quite historic place,"A very beautiful and historic place in Berlin that you must reserve on the website in order to visit. There are plenty of areas for visitors, including a park with green trees. If you want the best food and experience explore one of their top-floor restaurants.","Written September 28, 2021"
Germany,Reichstag Building,Nice piece of architecture and history,"A really nice building, you have to start thinking about history when you see this. Nice area with wide garden, even with a lot of visitors whole place is not congested.","Written September 1, 2021"
Germany,Reichstag Building,Wow,"Beautiful, someone history 🥰 the building is so beautiful 😍 I love it, a cool place just to sit rest and watch it for few hours 😀","Written August 18, 2021"
Germany,Reichstag Building,Truly Mgnificent,Worth a visit. Go early to jump the que for entrance (go a 1:00pm at the entrance for tickets on the same day - if not pre-booked),"Written August 14, 2021"
Germany,Reichstag Building,Impressive,The Reichstag building and especially the dome is very stylish and impressive. The done is a spirt path which leads to an open sky upper floor. The from above and outside is amazing,
Germany,Reichstag Building,Impressive historic building,"Reichstag is the parliament building in Berlin. The building houses the German Parliament, the Bundestag.

The building was built in 1894. In the 1990s, it was renovated and a glass dome was built.

Now the building is a true example of eco-architecture. The shape of the dome allows the building to make use of natural lighting.

At the moment, entering the building and the dome with panoramic views is possible only with an advance booking.",
Germany,Reichstag Building,Huge building,When you know the history of WW2 and the nazis it’s interesting to walk around the building. It’s huuuge. It’s located right next to Brandenburger Tor,"Written July 26, 2021"
Germany,Reichstag Building,What a significant building of our time,Incredible where it all began ww2 origins.should be free to visit to know our history. Im a massive ww2 fan and am fascinated by it all. A must see,"Written July 23, 2021"
Germany,Reichstag Building,Historic building,Amazing architecture. I recommend combining a visit to the Reichstag with a visit to the nearby Brandenburg “Tor” (Gate).,
Germany,Reichstag Building,Must see,"Every my visit to Berlin start with Reichstag Building. It is a great piece of architecture not old, but the history that happened in these walls impacted the lives of several generations. The most impressive part of the visit is the guided tour that you have to book in advance. I think it is one of the most must-see attraction in Berlin.","Written July 11, 2021"
Germany,Reichstag Building,Frustrating Visit,"A fantastic place from the outside but beware as you cannot see inside.
I went on the morning expecting to book for the afternoon or on the following day. Unfortunately I was told that you need to book on the internet at least 3 weeks before.
I did some research before I went to Berlin and never saw the 'book in advance' rules.","Written February 8, 2021"
Germany,Reichstag Building,Bundestag Experience,"A visit to the Bundestag was of lifetime experience to me. Experiencing how citizens participate in parliamentary sessions inspired me a lot. The history of the building is very informative. Highly recommended.
Warm regards from Emmanuel Karake in Kigali,Rwanda","Written January 2, 2021"
